,Address,Name,PriceLevel,Rating,Reviews,lat,lng,placeId
0,,Hong Kong Clay Pot Restaurant,1.0,4.3,759,37.7958907,-122.4065447,ChIJFUvxpPSAhYARe7KCl28GNo8
1,,Z & Y Restaurant,2.0,4.1,1329,37.7959769,-122.4060312,ChIJmevPu_SAhYARMmQlHRt_Rj4
2,,Mister Jiu's,3.0,4.5,488,37.79374790000001,-122.4066291,ChIJyRDJYIuAhYARyAPkIc7A2Vo
3,,China Live,2.0,4.3,1204,37.7980047,-122.4079241,ChIJx1IXkvOAhYARMNdQA5IcmEc
4,,Hunan Home's Restaurant,2.0,4.1,679,37.796237,-122.405629,ChIJU2Zbx_SAhYAR7aFe2VCWlrc
5,,Delicious Dim Sum,1.0,4.4,155,37.7960235,-122.4075772,ChIJbcVrZ_OAhYAR75zxghr_LcQ
6,,Good Mong Kok Bakery,1.0,4.4,879,37.7954429,-122.4083634,ChIJverWRvOAhYARVfNtAtDviIc
7,,House of Nanking,2.0,4.1,1897,37.7964791,-122.4053898,ChIJvS92wfSAhYARC2tq3BmjmIM
8,,R & G Lounge,2.0,4.2,1771,37.7941234,-122.4049512,ChIJVQHYG4uAhYARy5TU756NqIk
9,,Trestle,2.0,4.6,478,37.7961962,-122.4045409,ChIJXX7b1vSAhYARvD0AU-P83P8
10,,Enjoy Vegetarian,2.0,4.3,378,37.7958182,-122.4052477,ChIJb7C9zvSAhYAR8jQidOUJr9M
11,,Eight Tables by George Chen,4.0,4.4,57,37.7983411,-122.407892,ChIJM70_7fOAhYARBhmOeIEcEY4
12,,Z & Y Bistro,,4.5,61,37.7963745,-122.4055142,ChIJP9HbwPSAhYAR2jzkKhT18MY
13,,Capital,1.0,4.1,275,37.7940788,-122.4071024,ChIJXRqnWIuAhYAR8b-4A9UNRHU
14,,New Moon,1.0,4.4,51,37.797308,-122.408814,ChIJh1AAo_OAhYARDluRkRWbC_c
15,,Parallel 37,4.0,4.5,49,37.7918754,-122.4070392,ChIJf17NcIyAhYARjeQrOo_ATpY
16,,New Lun Ting Cafe,1.0,4.3,112,37.7961596,-122.4063308,ChIJJ6nevPSAhYARaA2MbiRuBSU
